[criteria] 329/432 (334 s; ETA 105 s)
[criteria] 330/432 (335 s; ETA 103 s)
[criteria] 331/432 (336 s; ETA 102 s)
[criteria] 332/432 (336 s; ETA 101 s)
[criteria] 333/432 (338 s; ETA 101 s)
[criteria] 334/432 (339 s; ETA 99 s)
[criteria] 335/432 (340 s; ETA 98 s)
[criteria] 336/432 (340 s; ETA 97 s)
[criteria] 337/432 (340 s; ETA 96 s)
[criteria] 338/432 (341 s; ETA 95 s)
[criteria] 339/432 (342 s; ETA 94 s)
[criteria] 340/432 (342 s; ETA 93 s)
[criteria] 341/432 (342 s; ETA 91 s)
[criteria] 342/432 (342 s; ETA 90 s)
[criteria] 343/432 (343 s; ETA 89 s)
[criteria] 344/432 (344 s; ETA 88 s)
[criteria] 345/432 (344 s; ETA 87 s)
[criteria] 346/432 (344 s; ETA 85 s)
[criteria] 347/432 (345 s; ETA 85 s)
[criteria] 348/432 (345 s; ETA 83 s)
[criteria] 349/432 (346 s; ETA 82 s)
[criteria] 350/432 (346 s; ETA 81 s)
[criteria] 351/432 (348 s; ETA 80 s)
[criteria] 352/432 (348 s; ETA 79 s)
[criteria] 353/432 (349 s; ETA 78 s)
[criteria] 354/432 (349 s; ETA 77 s)
[criteria] 355/432 (350 s; ETA 76 s)
[criteria] 356/432 (350 s; ETA 75 s)
[criteria] 357/432 (352 s; ETA 74 s)
[criteria] 358/432 (352 s; ETA 73 s)
[criteria] 359/432 (353 s; ETA 72 s)
[criteria] 360/432 (353 s; ETA 71 s)
[criteria] 361/432 (357 s; ETA 70 s)
[criteria] 362/432 (358 s; ETA 69 s)
[criteria] 363/432 (359 s; ETA 68 s)
[criteria] 364/432 (359 s; ETA 67 s)
[criteria] 365/432 (363 s; ETA 67 s)
[criteria] 366/432 (364 s; ETA 66 s)
[criteria] 367/432 (365 s; ETA 65 s)
[criteria] 368/432 (365 s; ETA 64 s)
[criteria] 369/432 (370 s; ETA 63 s)
[criteria] 370/432 (370 s; ETA 62 s)
[criteria] 371/432 (371 s; ETA 61 s)
[criteria] 372/432 (371 s; ETA 60 s)
[criteria] 373/432 (380 s; ETA 60 s)
[criteria] 374/432 (381 s; ETA 59 s)
[criteria] 375/432 (381 s; ETA 58 s)
[criteria] 376/432 (382 s; ETA 57 s)
[criteria] 377/432 (391 s; ETA 57 s)
[criteria] 378/432 (393 s; ETA 56 s)
[criteria] 379/432 (393 s; ETA 55 s)
[criteria] 380/432 (393 s; ETA 54 s)
[criteria] 381/432 (402 s; ETA 54 s)
[criteria] 382/432 (403 s; ETA 53 s)
[criteria] 383/432 (404 s; ETA 52 s)
[criteria] 384/432 (404 s; ETA 51 s)
[criteria] 385/432 (405 s; ETA 49 s)
[criteria] 386/432 (407 s; ETA 48 s)
[criteria] 387/432 (407 s; ETA 47 s)
[criteria] 388/432 (408 s; ETA 46 s)
[criteria] 389/432 (408 s; ETA 45 s)
[criteria] 390/432 (410 s; ETA 44 s)
[criteria] 391/432 (410 s; ETA 43 s)
[criteria] 392/432 (411 s; ETA 42 s)
[criteria] 393/432 (412 s; ETA 41 s)
[criteria] 394/432 (414 s; ETA 40 s)
[criteria] 395/432 (414 s; ETA 39 s)
[criteria] 396/432 (415 s; ETA 38 s)
[criteria] 397/432 (417 s; ETA 37 s)
[criteria] 398/432 (418 s; ETA 36 s)
[criteria] 399/432 (419 s; ETA 35 s)
[criteria] 400/432 (419 s; ETA 34 s)
[criteria] 401/432 (422 s; ETA 33 s)
[criteria] 402/432 (423 s; ETA 32 s)
[criteria] 403/432 (423 s; ETA 30 s)
[criteria] 404/432 (424 s; ETA 29 s)
[criteria] 405/432 (426 s; ETA 28 s)
[criteria] 406/432 (427 s; ETA 27 s)
[criteria] 407/432 (427 s; ETA 26 s)
[criteria] 408/432 (429 s; ETA 25 s)
[criteria] 409/432 (438 s; ETA 25 s)
[criteria] 410/432 (440 s; ETA 24 s)
[criteria] 411/432 (440 s; ETA 22 s)
[criteria] 412/432 (442 s; ETA 21 s)
[criteria] 413/432 (451 s; ETA 21 s)
[criteria] 414/432 (452 s; ETA 20 s)
[criteria] 415/432 (453 s; ETA 19 s)
[criteria] 416/432 (455 s; ETA 17 s)
[criteria] 417/432 (463 s; ETA 17 s)
[criteria] 418/432 (464 s; ETA 16 s)
[criteria] 419/432 (464 s; ETA 14 s)
[criteria] 420/432 (466 s; ETA 13 s)
[criteria] 421/432 (482 s; ETA 13 s)
[criteria] 422/432 (483 s; ETA 11 s)
