cond,i,M,S,R,s_ma,rho,beta,gpath,e0_p,e0_coef,e0_ok,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject,t_e1
M6_S10_R1_sma0.03_rho0.0_beta0.0,40,6,10,1,0.03,0.0,0.0,0.04,0.14121337993277122,-0.009092964384261557,True,0.7324990930633231,-0.004417873220112696,0.012925200224231551,True,True,0.0008292418419927164,0.0017317416359313217,0.0004182582183101518,0.0018079714927009332,-0.004417873220111928,-0.03147912016644021,0.022170709042125546,False,True,-0.027777777777777735,-0.24055555555555558,0.19001388888888882,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,41,6,10,1,0.03,0.0,0.0,0.04,0.2778685192780982,-0.006005986542247639,True,0.5778207967333382,-0.011087897396860684,0.019921814005385258,True,True,0.0009069993712322799,0.002432262045064701,0.0010999360826722529,0.0015328456706272533,-0.011087897396862854,-0.05112589951555553,0.028073093002553524,False,True,-0.043888888888888866,-0.24445833333333336,0.1572222222222222,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,42,6,10,1,0.03,0.0,0.0,0.04,0.3222220202659559,0.005192520255183833,True,0.19840662949210042,0.018164708663384467,0.014123821280518246,True,True,0.0009052876208319484,0.0036247399678592594,0.000507918220608845,0.0009812517276053228,0.0181647086633842,-0.009729709759392531,0.04483864483111194,False,True,0.13055555555555554,-0.08223611111111108,0.3400138888888889,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,43,6,10,1,0.03,0.0,0.0,0.04,0.6122904291781305,0.0030511748166591663,True,0.6408001747590919,0.0072904410307210584,0.015625264986931203,True,True,0.0009231638394250062,0.0005947567400912187,0.0006401303337930042,0.0012966252081082642,0.007290441030720786,-0.02067605523459216,0.03258415644198923,False,True,0.08111111111111113,-0.13111111111111112,0.2972916666666667,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,44,6,10,1,0.03,0.0,0.0,0.04,0.2563710208843559,-0.007473560429384533,True,0.8692523434843548,-0.0039051504399296353,0.02372390586765422,True,True,0.0009019937533549696,0.0023866114361110356,0.0015982717535164715,0.0016864135524637743,-0.003905150439929704,-0.056985148846351696,0.05067531861364213,False,True,-0.12111111111111111,-0.35111111111111115,0.09611111111111109,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,45,6,10,1,0.03,0.0,0.0,0.04,0.7448935686234095,0.0021766053512768026,True,0.6728642599777408,0.006398840061603707,0.015155218199146281,True,True,0.0008929836636491972,0.0015495233053145292,0.0005997435496262804,0.0018790487094966309,0.006398840061602715,-0.030911447345019927,0.041058268259655764,False,True,0.0822222222222222,-0.13001388888888885,0.26959722222222204,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,46,6,10,1,0.03,0.0,0.0,0.04,0.4168548779645803,0.004833132760016836,True,0.9414874572981254,-0.0008214694559175421,0.011191612922545575,True,True,0.0008898603816950393,0.0011209089494297014,0.00028677056125475957,0.0032665100923844467,-0.0008214694559174169,-0.024573428575308764,0.021781860915492224,False,True,-0.02611111111111114,-0.22390277777777776,0.18777777777777782,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,47,6,10,1,0.03,0.0,0.0,0.04,0.045783914772427825,-0.012290856517840098,True,0.06299595290645507,-0.013610991808121998,0.00732080732088022,True,True,0.0008601720305748028,0.0037404476686548195,7.4765456430881e-05,0.0018777456613146568,-0.013610991808122015,-0.036261561415930586,0.005730035788403912,False,True,-0.10333333333333333,-0.3216805555555556,0.09056944444444438,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,48,6,10,1,0.03,0.0,0.0,0.04,0.08997168362376837,0.00843614024635267,True,0.7597798862877112,0.0037888616736138888,0.01239122065186823,True,True,0.0009433796276212688,0.004001661492449441,0.0003662890849677259,0.0016179937453078977,0.0037888616736136017,-0.024375684712944042,0.0347783046356066,False,True,0.02388888888888885,-0.20168055555555556,0.23834722222222215,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,49,6,10,1,0.03,0.0,0.0,0.04,0.6293322201671214,-0.003024647801035592,True,0.4809629299381557,-0.007117443169803284,0.01009917860876874,True,True,0.0009702117113946933,0.0013165200918270107,0.0002089590545759706,0.0019750684944374562,-0.007117443169803677,-0.03236565947023087,0.022259003479866177,False,True,-0.06000000000000005,-0.2656111111111111,0.1505972222222222,False,0.0
