cond,i,M,S,R,s_ma,rho,beta,e0_p,e0_coef,e0_ok,t_e0,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e1_vc_path_arm,t_e1,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject
M6_S5_R3_sma0.03_rho0.0_beta0.05,88,6,5,3,0.03,0.0,0.05,4.989124654250731e-35,0.04244767792065148,True,1.2637062072753906,0.013968470915797003,0.04264525464330679,0.017349058229717357,False,True,0.0009912789089276822,0.00320844713216384,0.0006651550479555487,8.835614924923239e-05,0.0001431076298531436,1.8730168342590332,0.042645254643311446,0.026107288672622554,0.05871706065068298,True,True,0.39925925925925926,0.2424012345679012,0.5526666666666665,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,89,6,5,3,0.03,0.0,0.05,5.722962111392718e-37,0.0425935052111387,True,1.5851953029632568,0.02124247614133682,0.03283705954641676,0.014254380904349828,False,True,0.0009062927901555256,0.001622649210170559,0.0004332177093791434,9.467810323155058e-05,9.660408014667266e-05,2.1121668815612793,0.032837059546414304,0.013640467264058806,0.05368241279213534,True,True,0.33135802469135806,0.1648518518518519,0.49386419753086414,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,90,6,5,3,0.03,0.0,0.05,6.6359307163411765e-65,0.0599178396065552,True,0.7267398834228516,0.002707641151148602,0.06344160891917731,0.021153435536270835,False,True,0.0009242828725733751,0.000723106820392212,0.0002050333614286133,1.943109669917073e-09,0.000896459404467685,2.6719071865081787,0.06344160891917403,0.034706682481382034,0.09358780195863749,True,True,0.6464197530864197,0.515253086419753,0.75879012345679,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,91,6,5,3,0.03,0.0,0.05,1.5146360629419578e-45,0.04927125976932465,True,1.92568039894104,0.000724011192646062,0.05172698976985856,0.015302388161618054,False,True,0.0008329367405819276,0.0009083168972447388,0.0006253313652526769,0.0001110879971432062,1.8023974212534967e-05,3.4629600048065186,0.05172698976985727,0.019952220244273372,0.08329498730838027,True,True,0.548395061728395,0.40146296296296297,0.6815617283950618,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,92,6,5,3,0.03,0.0,0.05,6.718547818996521e-53,0.052538442211150824,True,1.55096435546875,7.458693625742633e-06,0.05479354632295909,0.012230264185741201,True,True,0.0008876370278292652,0.0005241353879020799,0.0003513058335372929,6.343060734364987e-05,3.1880375638683136e-05,4.002261400222778,0.05479354632295374,0.028303330184148007,0.08102669066850152,True,True,0.6437037037037037,0.5132222222222224,0.7504074074074073,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,93,6,5,3,0.03,0.0,0.05,2.524079600508596e-60,0.05600045819835837,True,0.9369845390319824,0.02720145592448142,0.059062120061421725,0.026741704457218986,False,True,0.0008770667704438792,0.00609525656931165,0.0018458442181858716,5.413775167501147e-05,0.00020086744634410949,2.6331350803375244,0.05906212006132195,0.030435738778965833,0.08200190171205152,True,True,0.38716049382716045,0.2199938271604938,0.5268518518518517,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,94,6,5,3,0.03,0.0,0.05,2.0194216156938105e-25,0.03601300386076662,True,1.9891855716705322,0.05646198620360738,0.03300318601805799,0.017302230054737258,True,True,0.0008907367949864603,0.0021650008804696285,0.0008106051317796915,0.00010358057863631258,2.3428258184983297e-05,2.763301134109497,0.033003186018040885,0.01164722829611818,0.0558966353238449,True,True,0.31135802469135804,0.14491975308641974,0.46840123456790117,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,95,6,5,3,0.03,0.0,0.05,4.6214774638131865e-28,0.038740796850228035,True,1.194540023803711,0.08620476871485255,0.037771782086076705,0.022014522244872783,False,True,0.0008780658767659611,0.00021157466380100802,0.0002228108102173369,2.768433208617009e-08,0.000977140861396049,4.972738742828369,0.03777178208609762,0.0003551979241584386,0.07095469601520808,True,True,0.48098765432098767,0.3338024691358025,0.6158580246913579,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,96,6,5,3,0.03,0.0,0.05,4.3044427916678185e-42,0.045431050471749314,True,0.7085464000701904,0.0002716853814427359,0.04247105502833475,0.011664984197522559,False,True,0.000890177708241362,0.0008659834174923386,0.0002728649446652133,6.041630688009362e-05,6.333786980898057e-05,3.000577211380005,0.042471055028340074,0.019074399478091367,0.06557441546657444,True,True,0.4804938271604939,0.3370185185185185,0.6184197530864197,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,97,6,5,3,0.03,0.0,0.05,7.755655754320412e-66,0.06397954876667578,True,0.9514942169189453,0.0018769226351661931,0.05873955445428143,0.018893109849650015,False,True,0.0008827277146490626,0.00108771796426769,0.0009578216248599568,7.751251877643031e-05,4.5148883502733804e-05,3.4499130249023438,0.058739554454304295,0.016279811987456518,0.09349818691107785,True,True,0.6081481481481481,0.4659012345679012,0.736820987654321,True
