ticker,n_months,rho_ols,rho_mu,h_ols_days,h_mu_days,s_x,sigma_V_daily
CPB,105,0.9311824328702636,0.9676505426203833,204.1525535350059,442.6460525914546,0.3426424451042977,0.04473208838091109
CPRT,163,0.9924828517878513,0.995,1929.0975026247827,2903.9340327072778,0.8517012460704044,0.03062861089585312
CPT,158,0.8647673847625686,0.8832707894544612,100.18320028322267,117.27107278120913,0.8382302019798815,0.06747021600996306
CSCO,93,0.8950230881854847,0.927290308261533,131.24737833747056,192.82503822413082,0.16946439209299502,0.04551399347140651
CSGP,72,0.9590800888483036,0.995,348.3927419822801,2903.9340327072778,0.5096021544663863,0.07319702477800677
CSX,183,0.9541828366687428,0.9735981878661604,310.3645865288206,544.018730451592,0.5614629998645974,0.03574973188807842
CTAS,165,0.9515608745476749,0.9743882654130671,293.16448725513055,561.0272639914468,0.2273993591033893,0.016353560286707182
CTSH,176,0.9523753430504784,0.9716272805083054,298.3046702218785,505.7182574263271,0.26211533400568243,0.014961695905683471
CVS,105,0.8975982561615359,0.9300266029962244,134.73783904386642,200.65718011187917,0.2503137053851352,0.03186410315504555
CVX,81,1.0677068144054296,0.995,inf,2903.9340327072778,0.5611353388436787,0.04791442579934104
D,115,0.9359687199860055,0.9655058741795213,219.96950394619196,414.6669004433746,0.6007005007318323,0.051949364891400104
DDS,129,0.9547049778327452,0.9873810808000075,314.0275508746906,1146.2198236923884,0.45659924733891066,0.01856047674331516
DE,176,0.9542105767022697,0.9736284358491313,310.55708971497404,544.6511385596564,0.3132758099416649,0.019155761808721587
DECK,92,0.8534990672227349,0.883188278880841,91.88823027736646,117.1828773021694,0.6294682417083411,0.037748231382739604
DGX,177,0.9414513381269267,0.9600026140234481,241.26403507971065,356.5984944686565,0.3188700120937573,0.022454552265333577
DHI,165,0.9328526182325743,0.9537734846759692,209.4158809168959,307.5507255023632,0.6315255692281178,0.039583234504200565
DHR,177,0.984214573999558,0.995,914.8247933095266,2903.9340327072778,0.5323353251433777,0.01594526147791986
DLTR,94,0.9564373987127324,0.995,326.8098389462641,2903.9340327072778,0.4691857607293772,0.024353580971207753
DLX,101,0.9267673402658099,0.9628994071682813,191.3947270724922,385.017287691717,0.15356197637364816,0.050595942159821834
DOC,107,0.9198466850660245,0.9554417105866867,174.22372575758484,319.34192606921783,0.33296772591581203,0.027515187660799648
DOV,177,0.961452263095576,0.9817686323274554,370.28634376201944,791.1087872379721,0.26949253895140696,0.01673243637891684
DRI,114,0.8246956079413713,0.8490866760288236,75.52153808990558,88.97692005889782,0.23068831034702664,0.025959971565013288
DTE,167,0.9136698322197712,0.9331654209615988,161.22200246073095,210.43086443916036,0.20079486490027676,0.017409782405926128
DUK,105,0.9409232120150691,0.9792758857931934,239.04081986410225,695.0711215186365,0.4410539358474408,0.03586164888849425
DVA,176,0.9218793079204898,0.9396209531348523,178.95153480597475,233.7249272112098,0.5300780654089388,0.04629062380928552
ECL,123,0.9472511928550921,0.9782407983602572,268.607313080865,661.6578090970108,0.18393340165497443,0.014225341498407155
ED,164,0.890306547003149,0.9091930686322398,125.278947044843,152.9036297849099,0.1703401761836057,0.015546002159510781
EFX,103,0.9279444610410998,0.9641115111639468,194.64335092756897,398.26981245724056,0.14794639583980598,0.016959108064972913
EG,152,0.857041545005736,0.8753411698893419,94.355325490295,109.32792715305663,0.5946953869431383,0.07148871146867568
EIX,64,0.8030732243637457,0.8529977818026337,66.3724038872914,91.54870124958082,0.7165329147094669,0.062374112421919606
EL,164,0.9524098071778972,0.9753850355123652,298.52605554509756,584.043004572008,0.4122969565170222,0.03216707244697862
EMN,177,0.9320421124362376,0.9500900453616222,206.82940189963756,284.3068982400017,0.36125039461690456,0.028315841943819944
EMR,176,0.9268629613412641,0.9447561759825652,191.65472221674491,256.1411352568626,0.4404966564668203,0.038845949025814036
EOG,66,0.9319344275356092,0.995,206.49039250320632,2903.9340327072778,0.6413442208107673,0.1354212252817418
EQT,72,0.9418520180830762,0.9937610383982907,242.9776828363404,2325.809470964552,0.3364403535102936,0.12248732689474463
ESS,164,0.9646015694924917,0.9889961820508425,403.88547526161676,1315.5303806813831,0.515723580028291,0.024371827059782344
ETN,137,0.9821309787066027,0.995,807.2993025726882,2903.9340327072778,0.33790917615059696,0.017641605651355866
