feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
price_only,ridge,x,resolution,73422,0.14104302648243916,-0.037355293952723585,0.24022777849603422,0.6291054988803185,64304.0,0.6160404002701809,0.6440864048084606,,,,,0.14104302648243916,
price_only,ridge,x,all,288000,0.409971459979517,0.3549702137491095,0.44884062661632473,0.6935607828715032,212091.0,0.6848283024326095,0.7026078745065222,,,,,0.409971459979517,
price_only,ridge,logV,calm,119663,0.09376211092979458,0.046238705303612904,0.1378618985982131,,,,,,0.14553346032597522,0.14081680532079285,0.1510882269109039,0.09376211092979458,
price_only,ridge,logV,event,94915,0.32186436466162005,0.2804598560251322,0.35988757478257105,,,,,,0.15084867188143075,0.14393006845838727,0.1581756597425501,0.32186436466162005,
price_only,ridge,logV,resolution,73422,-0.36139874315069687,-0.839600956004735,-0.12454426993184381,,,,,,0.2147981824710486,0.20560680634942963,0.2258700764027458,-0.36139874315069687,
price_only,ridge,logV,all,288000,0.20328266777981419,0.10466608046748115,0.2596824903211257,,,,,,0.16494334829167534,0.16039728256816202,0.17027855587290797,0.20328266777981419,
price_only,gbt,x,calm,119663,0.08628241480839238,0.04307192621580922,0.12208898034440685,0.5681168722015923,65439.0,0.5497424789839469,0.5858789689922907,,,,,0.08628241480839238,
price_only,gbt,x,event,94915,0.681446519213314,0.6608981282326604,0.7026735594939258,0.8206392383543013,82348.0,0.8106334330897258,0.8304706322676296,,,,,0.681446519213314,
price_only,gbt,x,resolution,73422,0.40586407372543587,0.3768914265882176,0.4332230142620145,0.7651157004229908,64304.0,0.7520879458115486,0.7798070116324021,,,,,0.40586407372543587,
price_only,gbt,x,all,288000,0.5272085874587782,0.5055222010511364,0.5461121733550623,0.725891244795866,212091.0,0.7164944159717952,0.7347235473024153,,,,,0.5272085874587782,
price_only,gbt,logV,calm,119663,0.20050727153049885,0.15937474270237442,0.24015200781460788,,,,,,0.13612241473800432,0.13131064361146125,0.14122869719429976,0.20050727153049885,
price_only,gbt,logV,event,94915,0.3455782266641748,0.31232157608883626,0.3768392981893866,,,,,,0.14733550842100748,0.1410109182578698,0.15488966347076027,0.3455782266641748,
price_only,gbt,logV,resolution,73422,-0.09293423004001622,-0.14982357524960965,-0.040049206424306746,,,,,,0.20274895442478866,0.19426723859915626,0.21315481002079353,-0.09293423004001622,
price_only,gbt,logV,all,288000,0.3037641292466441,0.28540679997092505,0.32090797158811146,,,,,,0.15680347232066172,0.15242058723766017,0.1617317027715292,0.3037641292466441,
price_only,mlp,x,calm,119663,0.07497679870551699,0.019669870193441,0.11746686442877238,0.6067329879735326,65439.0,0.5917340296100234,0.6206741800852527,,,,,0.07497679870551699,
price_only,mlp,x,event,94915,0.7082068595687278,0.6852294425522845,0.7310823102230555,0.8365837664545587,82348.0,0.8271563489452679,0.845372715860712,,,,,0.7082068595687278,
price_only,mlp,x,resolution,73422,0.5064231616301382,0.4753403126260899,0.5340083397342749,0.7775255038566807,64304.0,0.7643797748860353,0.7894363726520074,,,,,0.5064231616301382,
price_only,mlp,x,all,288000,0.570389444708115,0.5441385587396427,0.5919569041337234,0.7477592165627018,212091.0,0.7392225498147685,0.754910096338023,,,,,0.570389444708115,
price_only,mlp,logV,calm,119663,0.19564530197413843,0.14947269048009665,0.23713132094416037,,,,,,0.1358025410225867,0.1308668029704914,0.14082610968921871,0.19564530197413843,
price_only,mlp,logV,event,94915,0.35094813677220393,0.31185178064497815,0.38528077167145014,,,,,,0.14574064103220066,0.13981554523143166,0.15265543384118277,0.35094813677220393,
price_only,mlp,logV,resolution,73422,-0.0414559631074114,-0.12219460651278401,0.01911001656798031,,,,,,0.19444553100673792,0.1853704803379567,0.20530423837572057,-0.0414559631074114,
price_only,mlp,logV,all,288000,0.3155597975629628,0.2901942480995228,0.33630799593404026,,,,,,0.15402809787338137,0.14977596982185368,0.15877539197625157,0.3155597975629628,
