feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
price_only,ridge,logV,calm,119440,0.04955209415205353,0.0018995734162480119,0.09106681120508502,,,,,,0.08770616013851457,0.08470539709251826,0.09040299738707908,0.04955209415205353,
price_only,ridge,logV,event,97998,0.42817367479724355,0.3851173246169192,0.47240202724231883,,,,,,0.07890459164495603,0.07643687680451218,0.08170963092255787,0.42817367479724355,
price_only,ridge,logV,resolution,70562,0.10897554222751726,0.030095933519372328,0.17453824940189194,,,,,,0.11933114824457433,0.11464118750202858,0.1246374591084493,0.10897554222751726,
price_only,ridge,logV,all,288000,0.4912394534474046,0.4692232326391673,0.510539881444656,,,,,,0.09245958479652859,0.09013403190031617,0.09479517827015316,0.4912394534474046,
price_only,gbt,x,calm,119440,0.8106978228868836,0.7715111263594968,0.8404141247158328,0.962171592162944,67066.0,0.9543067812970444,0.9687598417180675,,,,,0.8106978228868836,
price_only,gbt,x,event,97998,0.9382717483078119,0.9338427816774862,0.9430393761304763,0.9754963500255731,86028.0,0.9716427411245775,0.9794391147409838,,,,,0.9382717483078119,
price_only,gbt,x,resolution,70562,0.9040186804840554,0.892163039647294,0.9154906350450556,0.9857356402264487,62884.0,0.9819530246740066,0.9901914204088488,,,,,0.9040186804840554,
price_only,gbt,x,all,288000,0.9091377572254036,0.9021619743097563,0.9154804580056995,0.9743399790719425,215978.0,0.9710961690117532,0.977707168925271,,,,,0.9091377572254036,
price_only,gbt,logV,calm,119440,0.628166999773791,0.5821419995222992,0.6684384193217592,,,,,,0.051365562058210475,0.04943409784193148,0.0533604286056627,0.628166999773791,
price_only,gbt,logV,event,97998,0.5851221244666731,0.5495313639174416,0.6177874419839644,,,,,,0.06385711661989009,0.06154657789929361,0.06604542020888217,0.5851221244666731,
price_only,gbt,logV,resolution,70562,0.6372397878393172,0.6038994140170221,0.6661314521029121,,,,,,0.07021833339244918,0.06698946608574617,0.07341303057330671,0.6372397878393172,
price_only,gbt,logV,all,288000,0.7576692903288309,0.7403448125462567,0.7733605799413087,,,,,,0.06023513363745364,0.058658833180225,0.061773845690494426,0.7576692903288309,
price_only,mlp,x,calm,119440,0.8129750026409315,0.7753068194155253,0.8430570950667658,0.9609787373631945,67066.0,0.9536827086344112,0.9670483890819431,,,,,0.8129750026409315,
price_only,mlp,x,event,97998,0.9379586511394227,0.9333365647910025,0.942714212200672,0.9740782070953643,86028.0,0.9704858778036657,0.977981846081124,,,,,0.9379586511394227,
price_only,mlp,x,resolution,70562,0.9009525234975182,0.8888474000632517,0.9125545821779489,0.985687933337574,62884.0,0.9820309546879056,0.9894556259457424,,,,,0.9009525234975182,
price_only,mlp,x,all,288000,0.9085250330912293,0.9015017794784134,0.9147405716579217,0.9733908083230699,215978.0,0.970280996440205,0.9765813820167425,,,,,0.9085250330912293,
price_only,mlp,logV,calm,119440,0.5980971235002063,0.5506673339368175,0.6423318217894514,,,,,,0.05425343740225287,0.05223706526250352,0.056215370898218195,0.5980971235002063,
price_only,mlp,logV,event,97998,0.5672618219969703,0.5311103491835343,0.6024575595783344,,,,,,0.06555041034913145,0.06330307028287255,0.067768681907541,0.5672618219969703,
price_only,mlp,logV,resolution,70562,0.6013222397673583,0.5667574228464863,0.6317596503691896,,,,,,0.07418258788101943,0.07113601303929082,0.07739021212417957,0.6013222397673583,
price_only,mlp,logV,all,288000,0.7401444993025514,0.7216934260622881,0.7568661585302682,,,,,,0.0629802480652075,0.06141990960572388,0.06447089860923925,0.7401444993025514,
